KOMMNR;KOMMUNE;PARTIKODE;PARTINAVN;PLASSNR;NAVN;FØDT;KJØNN;STEMMETILLEGG;STILTE 2007
0100;Østfold;A;Det norske Arbeiderparti;1;Ole Haabeth;1950;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;2;Inger Christin Torp;1962;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;3;Håvard Wennevold Osflaten;1971;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;4;Siv Henriette Jacobsen;1966;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;5;Odd Riise;1949;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;6;Torill Bergene;1948;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;7;Rune Fredriksen;1972;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;8;Kirsti Sand Aune;1951;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;9;Andreas Motzfeldt Lervik;1969;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;10;Mona Irene Bråthen;1949;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;11;Shakeel ur Rehman;1984;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;12;Gunnel Edfeldt;1947;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;13;Ole Hagen;1987;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;14;Aase Mary Furali;1952;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;15;Einar Antonsen;1945;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;16;Cecilie Agnalt;1978;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;17;Lars Reidar Pedersen Due;1970;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;18;Krishna Magan Chudasama;1961;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;19;Helge Johannes Kolstad;1944;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;20;Mai Lisbeth Larsen;1959;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;21;Arne Øren;1943;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;22;Ragnhild S Hartviksen;1958;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;23;Ole Henrik Grønn;1984;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;24;Elisabeth Giske;1949;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;25;Roar Høisveen;1952;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;26;Mariana Oberti;1951;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;27;Mats Petter Sydengen;1987;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;28;Sofie Tømmerås Lyshagen;1993;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;29;Atle Ottesen;1978;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;30;Kari-Helen H Lilleaas;1974;K;N;J
0100;Østfold;A;Det norske Arbeiderparti;31;Hans J Bjelland Rønningen;1946;M;N;J
0100;Østfold;A;Det norske Arbeiderparti;32;Bente Pedersen;1963;K;N;J
