KOMMNR;KOMMUNE;PARTIKODE;PARTINAVN;PLASSNR;NAVN;FØDT;KJØNN;STEMMETILLEGG;STILTE 2007
0101;Halden;A;Det norske Arbeiderparti;1;Per Kristian Dahl;1960;M;J;J
0101;Halden;A;Det norske Arbeiderparti;2;Elisabeth Giske;1949;K;J;J
0101;Halden;A;Det norske Arbeiderparti;3;John C M Østensvig;1955;M;J;J
0101;Halden;A;Det norske Arbeiderparti;4;Ellen Simensen;1962;K;J;J
0101;Halden;A;Det norske Arbeiderparti;5;Svein Birger Olaussen;1943;M;J;J
0101;Halden;A;Det norske Arbeiderparti;6;Mona Irene Bråthen;1949;K;J;J
0101;Halden;A;Det norske Arbeiderparti;7;Håkon Magne Knudsen;1963;M;N;J
0101;Halden;A;Det norske Arbeiderparti;8;Mette E. Rakeng Karlsen;1960;K;N;J
0101;Halden;A;Det norske Arbeiderparti;9;Nils Sagstuen;1935;M;N;J
0101;Halden;A;Det norske Arbeiderparti;10;Linn Victoria Olsen;1991;K;N;J
0101;Halden;A;Det norske Arbeiderparti;11;Ulf-Torben Redi;1976;M;N;J
0101;Halden;A;Det norske Arbeiderparti;12;Kristin Laurense Johansen;1968;K;N;J
0101;Halden;A;Det norske Arbeiderparti;13;Lars Reidar Pedersen Due;1970;M;N;J
0101;Halden;A;Det norske Arbeiderparti;14;Laila Tajet Andersen;1947;K;N;J
0101;Halden;A;Det norske Arbeiderparti;15;Paul Ronny Kristiansen;1956;M;N;J
0101;Halden;A;Det norske Arbeiderparti;16;Bente C Gulbrandsen;1975;K;N;J
0101;Halden;A;Det norske Arbeiderparti;17;Joachim Bratteli;1975;M;N;J
0101;Halden;A;Det norske Arbeiderparti;18;Turid Anne-Britt Eriksen;1944;K;N;J
0101;Halden;A;Det norske Arbeiderparti;19;Bjørn Norvald Larsen;1954;M;N;J
0101;Halden;A;Det norske Arbeiderparti;20;Anne Karin Johansen;1961;K;N;J
0101;Halden;A;Det norske Arbeiderparti;21;Harald Bjerge;1965;M;N;J
0101;Halden;A;Det norske Arbeiderparti;22;Wenche Olsen;1965;K;N;J
0101;Halden;A;Det norske Arbeiderparti;23;Svein Arne Hansen;1962;M;N;J
0101;Halden;A;Det norske Arbeiderparti;24;Marianne Bjerge;1970;K;N;J
0101;Halden;A;Det norske Arbeiderparti;25;Mohammed Abdi Dahir;1983;M;N;J
0101;Halden;A;Det norske Arbeiderparti;26;Lisa Vik;1961;K;N;J
0101;Halden;A;Det norske Arbeiderparti;27;Arne Alexander Olsen;1988;M;N;J
0101;Halden;A;Det norske Arbeiderparti;28;Grete Synøve Nyquist;1944;K;N;J
0101;Halden;A;Det norske Arbeiderparti;29;Liv Beate Østensvig;1958;K;N;J
0101;Halden;A;Det norske Arbeiderparti;30;Ole Johan Larsen;1950;M;N;J
0101;Halden;A;Det norske Arbeiderparti;31;Tove Kristiansen;1981;K;N;J
0101;Halden;A;Det norske Arbeiderparti;32;Tom Viggo Knudsen;1965;M;N;J
