election_year;county_number;county;party_id;party_name;candidate_number;candidate_name;candidate_birthyear;candidate_residence;candidate_gender;date_part
2013;0100;Østfold;A;Arbeiderpartiet;1;Svein Roald Hansen;1949;Fredrikstad;M;63
2013;0100;Østfold;A;Arbeiderpartiet;2;Irene Johansen;1961;Moss;K;52
2013;0100;Østfold;A;Arbeiderpartiet;3;Stein Erik Lauvås;1965;Marker;M;48
2013;0100;Østfold;A;Arbeiderpartiet;4;Wenche Olsen;1965;Halden;K;47
2013;0100;Østfold;A;Arbeiderpartiet;5;Fredrik Bjørnebekk;1990;Sarpsborg;M;23
2013;0100;Østfold;A;Arbeiderpartiet;6;Elise Waagen;1990;Sarpsborg;K;23
2013;0100;Østfold;A;Arbeiderpartiet;7;Shakeel Ur Rehman;1984;Moss;M;28
2013;0100;Østfold;A;Arbeiderpartiet;8;Siri Martinsen;1977;Fredrikstad;K;35
2013;0100;Østfold;A;Arbeiderpartiet;9;Jon-Ivar Nygård;1973;Fredrikstad;M;40
2013;0100;Østfold;A;Arbeiderpartiet;10;Inger-Lise Skartlien;1967;Moss;K;46
2013;0100;Østfold;A;Arbeiderpartiet;11;Tomas Colin Archer;1952;Moss;M;60
2013;0100;Østfold;A;Arbeiderpartiet;12;Cecilie Agnalt;1978;Skiptvet;K;34
2013;0100;Østfold;A;Arbeiderpartiet;13;Trygve  Westgård;1948;Askim;M;64
2013;0100;Østfold;A;Arbeiderpartiet;14;Oddbjørg Strømme;1952;Sarpsborg;K;61
2013;0100;Østfold;A;Arbeiderpartiet;15;Lars  Pedersen Due;1970;Halden;M;43
2013;0100;Østfold;KRISTNE;De Kristne;1;Sten Klevås-Olsen;1949;Moss;M;64
2013;0100;Østfold;KRISTNE;De Kristne;2;Inger Marit Sverresen;1949;Sarpsborg;K;64
2013;0100;Østfold;KRISTNE;De Kristne;3;Øyvind Hofstad;1940;Råde;M;72
2013;0100;Østfold;KRISTNE;De Kristne;4;Tonny Bakke;1973;Halden;M;40
2013;0100;Østfold;KRISTNE;De Kristne;5;Elisabeth Holm;1978;Sarpsborg;K;35
2013;0100;Østfold;KRISTNE;De Kristne;6;Jan Ingvaldsen;1952;Halden;M;61
2013;0100;Østfold;KRISTNE;De Kristne;7;Kjell J. Tveter;1936;Fredrikstad;M;76
2013;0100;Østfold;KRISTNE;De Kristne;8;Jonas Groth;1977;Sarpsborg;M;36
2013;0100;Østfold;KRISTNE;De Kristne;9;Ann-Heleen Waarum;1952;Marker;K;60
2013;0100;Østfold;KRISTNE;De Kristne;10;Gunnar Brudeli;1942;Trøgstad;M;71
2013;0100;Østfold;KRISTNE;De Kristne;11;Leiv Magne Håland;1949;Sarpsborg;M;63
2013;0100;Østfold;KRISTNE;De Kristne;12;Audhild Solberg;1939;Eidsberg;K;73
2013;0100;Østfold;KRISTNE;De Kristne;13;Else-Mari Gjestad;1941;Sarpsborg;K;72
2013;0100;Østfold;KRISTNE;De Kristne;14;Bjarne Clausen;1948;Sarpsborg;M;65
2013;0100;Østfold;KRISTNE;De Kristne;15;Olav Honningdal;1942;Sarpsborg;M;71
2013;0100;Østfold;DEMN;Demokratene i Norge;1;Jan A. Falla;1944;Trøgstad;M;69
